date,state,candidate,prob
2020-04-22,South Carolina,biden,0.05592
2020-04-22,South Carolina,trump,0.94408
2020-04-22,South Dakota,biden,4.1e-4
2020-04-22,South Dakota,trump,0.99959
2020-04-22,Tennessee,biden,2.6e-4
2020-04-22,Tennessee,trump,0.99974
2020-04-22,Texas,biden,0.19993
2020-04-22,Texas,trump,0.80007
2020-04-22,Utah,biden,0.00349
2020-04-22,Utah,trump,0.99651
2020-04-22,Vermont,biden,0.99997
2020-04-22,Vermont,trump,3e-5
2020-04-22,Virginia,biden,0.94826
2020-04-22,Virginia,trump,0.05174
2020-04-22,Washington,biden,0.99931
2020-04-22,Washington,trump,6.9e-4
2020-04-22,West Virginia,biden,0
2020-04-22,West Virginia,trump,1
2020-04-22,Wisconsin,biden,0.64054
2020-04-22,Wisconsin,trump,0.35946
2020-04-22,Wyoming,biden,0
2020-04-22,Wyoming,trump,1
2020-04-23,Alabama,biden,5e-5
2020-04-23,Alabama,trump,0.99995
2020-04-23,Alaska,biden,0.04166
2020-04-23,Alaska,trump,0.95834
2020-04-23,Arizona,biden,0.65519
2020-04-23,Arizona,trump,0.34481
2020-04-23,Arkansas,biden,0.00178
2020-04-23,Arkansas,trump,0.99822
2020-04-23,California,biden,1
2020-04-23,California,trump,0
2020-04-23,Colorado,biden,0.88303
2020-04-23,Colorado,trump,0.11697
2020-04-23,Connecticut,biden,0.98376
2020-04-23,Connecticut,trump,0.01624
2020-04-23,Delaware,biden,0.99623
2020-04-23,Delaware,trump,0.00377
2020-04-23,District of Columbia,biden,1
2020-04-23,District of Columbia,trump,0
2020-04-23,Florida,biden,0.6225
2020-04-23,Florida,trump,0.3775
2020-04-23,Georgia,biden,0.39593
2020-04-23,Georgia,trump,0.60407
2020-04-23,Hawaii,biden,1
2020-04-23,Hawaii,trump,0
2020-04-23,Idaho,biden,3e-5
2020-04-23,Idaho,trump,0.99997
2020-04-23,Illinois,biden,0.99549
2020-04-23,Illinois,trump,0.00451
2020-04-23,Indiana,biden,0.00478
2020-04-23,Indiana,trump,0.99522
2020-04-23,Iowa,biden,0.09651
2020-04-23,Iowa,trump,0.90349
2020-04-23,Kansas,biden,0.01506
2020-04-23,Kansas,trump,0.98494
2020-04-23,Kentucky,biden,4e-5
2020-04-23,Kentucky,trump,0.99996
2020-04-23,Louisiana,biden,0.02584
2020-04-23,Louisiana,trump,0.97416
2020-04-23,Maine,biden,0.85036
2020-04-23,Maine,trump,0.14964
2020-04-23,Maine's 1st congressional district,biden,0.98995
2020-04-23,Maine's 1st congressional district,trump,0.01005
2020-04-23,Maine's 2nd congressional district,biden,0.19557
2020-04-23,Maine's 2nd congressional district,trump,0.80443
2020-04-23,Maryland,biden,1
2020-04-23,Maryland,trump,0
2020-04-23,Massachusetts,biden,0.99972
2020-04-23,Massachusetts,trump,2.8e-4
2020-04-23,Michigan,biden,0.7712
2020-04-23,Michigan,trump,0.2288
2020-04-23,Minnesota,biden,0.87184
2020-04-23,Minnesota,trump,0.12816
2020-04-23,Mississippi,biden,0.01232
2020-04-23,Mississippi,trump,0.98768
2020-04-23,Missouri,biden,0.01054
2020-04-23,Missouri,trump,0.98946
2020-04-23,Montana,biden,4.6e-4
2020-04-23,Montana,trump,0.99954
2020-04-23,National,biden,0.76802
2020-04-23,National,trump,0.23198
2020-04-23,Nebraska,biden,0.00282
2020-04-23,Nebraska,trump,0.99718
2020-04-23,Nebraska's 1st congressional district,biden,0.01341
2020-04-23,Nebraska's 1st congressional district,trump,0.98659
2020-04-23,Nebraska's 2nd congressional district,biden,0.56925
2020-04-23,Nebraska's 2nd congressional district,trump,0.43075
2020-04-23,Nebraska's 3rd congressional district,biden,0
2020-04-23,Nebraska's 3rd congressional district,trump,1
2020-04-23,Nevada,biden,0.84614
2020-04-23,Nevada,trump,0.15386
2020-04-23,New Hampshire,biden,0.67325
2020-04-23,New Hampshire,trump,0.32675
2020-04-23,New Jersey,biden,0.99845
2020-04-23,New Jersey,trump,0.00155
2020-04-23,New Mexico,biden,0.9823
2020-04-23,New Mexico,trump,0.0177
2020-04-23,New York,biden,1
2020-04-23,New York,trump,0
2020-04-23,North Carolina,biden,0.3508
2020-04-23,North Carolina,trump,0.6492
2020-04-23,North Dakota,biden,0
2020-04-23,North Dakota,trump,1
2020-04-23,Ohio,biden,0.31861
2020-04-23,Ohio,trump,0.68139
2020-04-23,Oklahoma,biden,0
2020-04-23,Oklahoma,trump,1
2020-04-23,Oregon,biden,0.97269
2020-04-23,Oregon,trump,0.02731
2020-04-23,Pennsylvania,biden,0.75187
2020-04-23,Pennsylvania,trump,0.24813
2020-04-23,Rhode Island,biden,0.99236
2020-04-23,Rhode Island,trump,0.00764
2020-04-23,South Carolina,biden,0.05797
2020-04-23,South Carolina,trump,0.94203
2020-04-23,South Dakota,biden,4.4e-4
2020-04-23,South Dakota,trump,0.99956
2020-04-23,Tennessee,biden,2.8e-4
2020-04-23,Tennessee,trump,0.99972
2020-04-23,Texas,biden,0.2044
2020-04-23,Texas,trump,0.7956
2020-04-23,Utah,biden,0.00366
2020-04-23,Utah,trump,0.99634
2020-04-23,Vermont,biden,0.99997
